DocID                                          RunID GoldEntityID        SystemEntityID              AveragePrecision
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Addario             Addario                               1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Bush admin          Bush admin                            1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  CRS                 CRS                                   0.5000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Congress            Congress                              1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Democrats           Democrats                             0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Ferrier             Ferrier                               1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  House               House                                 0.6000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Lib of Cong         Lib of Cong                           1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  None                GOP                                   0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  None                Senate Finance Cmte                   0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  None                republicans blasting report           0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  None                the rich                              0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Senate              None                                  0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Senate Finance Cmte None                                  0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  Thomas Hungerford   Thomas Hungerford                     0.5000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  bill                bill                                  1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  orig report         orig report                           1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  other people        other people                          1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  political parties   political parties                     1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  report general      report general                        1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  republicans         republicans                           0.1667
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  rev report          rev report                            1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  section             None                                  0.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  senate              senate                                1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  some people         some people                           1.0000
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402 demo  the rich            high-income taxpayers                 1.0000
Summary                                        demo                                                            0.6064
