document_id	segment_id	start_char	end_char	start_segment_offset	end_segment_offset
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-0	0	52	123	1140
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-1	54	99	1141	2416
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-2	101	493	2417	8440
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-3	495	669	8441	11617
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-4	671	856	11618	14609
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-5	858	1110	14610	18786
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-6	1112	1529	18787	24804
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-7	1531	1586	24805	26233
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-8	1588	1898	26234	31983
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-9	1900	2013	31984	33801
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-10	2015	2241	33802	37692
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-11	2243	2531	37693	42486
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-12	2533	2737	42487	46050
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-13	2739	3073	46051	51773
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-14	3075	3336	51774	56224
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-15	3338	3601	56225	60608
20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5	20111231_WAPO_2ee2b1ca-33d9-11e1-a274-61fcdeecc5f5-16	3603	3773	60609	63825
