document_id	segment_id	start_char	end_char	start_segment_offset	end_segment_offset
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-0	0	52	123	1140
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-1	54	99	1141	2416
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-2	101	493	2417	8440
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-3	495	669	8441	11617
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-4	671	856	11618	14609
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-5	858	1110	14610	18786
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-6	1112	1529	18787	24804
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-7	1531	1586	24805	26233
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-8	1588	1898	26234	31983
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-9	1900	2013	31984	33801
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-10	2015	2241	33802	37692
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-11	2243	2531	37693	42486
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-12	2533	2737	42487	46050
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-13	2739	3073	46051	51773
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-14	3075	3336	51774	56224
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-15	3338	3601	56225	60608
20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402	20121213_WAPO_89fb0ad94e02f710be5c6a3aa2f71402-16	3603	3773	60609	63825
